2019-09-01 07:18:57,b'RT @FinSmash: What a message from @ECB_cricket Test Captain and absolute cricketing legend @root66 in support of  @LoveMusgrove #yorkshirec\xe2\x80\xa6'
2019-09-01 07:18:47,b'RT @FinSmash: A huge Thankyou to @ECB_cricket World Cup winning captain @C_Edwards23 for her support of the @FinSmash &amp; @LoveMusgrove today\xe2\x80\xa6'
2019-09-01 07:18:20,b'RT @FinSmash: Our 1st support message from a Cricketing Knight! Thankyou for your support @BeefyBotham \n#ECB_cricket  #bbctms #Ashes #somer\xe2\x80\xa6'
2019-09-01 07:17:56,b'RT @FinSmash: Fin heads into the last 10 overs and \n@shanewarne has popped in to offer his support to @LoveMusgrove and @FinSmash \n#Ashes\xe2\x80\xa6'
2019-09-01 07:17:34,b'RT @FinSmash: Our 2nd Cricketing Knight of the Day! Thankyou to Alastair \xe2\x80\x9cChef\xe2\x80\x9d Cook for offering his incredible support! #essexcricket #en\xe2\x80\xa6'
2019-09-01 06:58:11,"b'RT @halyapuff: #Russia backed #Donbas militant admits to bombing civilians in #Yasenata, eastern #Ukraine \n#HagueCourt #ICC\nhttps://t.co/fC\xe2\x80\xa6'"
2019-09-01 06:55:25,"b'RT @halyapuff: #Russia backed #Donbas militant admits to bombing civilians in #Yasenata, eastern #Ukraine \n#HagueCourt #ICC\nhttps://t.co/fC\xe2\x80\xa6'"
2019-09-01 06:41:05,b'Your body is waterproof\nRun &amp; Keep Sweating it out\n\n#somethingbigiscoming #somethingnew #cricket #test #shoes\xe2\x80\xa6 https://t.co/pyQPj4d4K1'
2019-09-01 06:33:49,b'Wow!! Simply wow!! Woke up today with an amazing news that our very own jassie bumrah took a hattrick today!! \nI me\xe2\x80\xa6 https://t.co/XzJoFJO0qk'
2019-09-01 06:33:10,b'RT @india_fantasy: Jasprit Bumrah has no limit!\n#ICCRankings #ICC https://t.co/7h6Smr4i00'
2019-09-01 06:32:04,b'Indian team would have absence of Bumrah and Bhuvneshwar for SA T20Is.\n#indiancricketteam #cricket #viratkohli\xe2\x80\xa6 https://t.co/Pj8ZC95wIw'
2019-09-01 06:30:30,b'RT @FinSmash: What a message from @ECB_cricket Test Captain and absolute cricketing legend @root66 in support of  @LoveMusgrove #yorkshirec\xe2\x80\xa6'
2019-09-01 06:30:09,b'The Indian squad is ready to defeat SA.\n#indiancricketteam #cricket #viratkohli #indiancricket #rohitsharma\xe2\x80\xa6 https://t.co/I41GfOpOM0'
2019-09-01 05:43:13,b'RT @indiabet: Happy Sunday!!\n\nParticipate in the Daily Challenge and win #Indiabet merchandise!!\n\nParticipate from:\nhttps://t.co/KCvJWYWS75\xe2\x80\xa6'
2019-09-01 05:30:12,b'Cricket Field Positions on Cricket Ground.\n#dhoni #cricket #viratkohli #worldcup #india #msdhoni #ipl #icc #kohli\xe2\x80\xa6 https://t.co/t98nk9oykR'
2019-09-01 04:58:20,b'No proper #ICC in #supremecourtofindia  for #cjiranjangogoi accused for #sexualharassment case. \n\nhttps://t.co/ZbbkeL0TSR'
2019-09-01 04:57:29,"b'RT @halyapuff: #Russia backed #Donbas militant admits to bombing civilians in #Yasenata, eastern #Ukraine \n#HagueCourt #ICC\nhttps://t.co/fC\xe2\x80\xa6'"
2019-09-01 04:51:43,"b'RT @halyapuff: #Russia backed #Donbas militant admits to bombing civilians in #Yasenata, eastern #Ukraine \n#HagueCourt #ICC\nhttps://t.co/fC\xe2\x80\xa6'"
2019-09-01 04:31:09,b'How legendry was Ben stokes in the wc final #icc https://t.co/1q510b858G'
2019-09-01 04:30:00,b'@benstokes38 Headingley heroics sees him rise to a career-high No. 2 in the @ICC Test rankings for allrounders \xf0\x9f\x91\x8f\xe2\x80\xa6 https://t.co/p1XaeoURhO'
2019-09-01 04:30:00,b'Happy Sunday!!\n\nParticipate in the Daily Challenge and win #Indiabet merchandise!!\n\nParticipate from:\xe2\x80\xa6 https://t.co/sxdVn0OCb4'
2019-09-01 04:27:53,"b'RT @DhanrajNathwani: What an inning @ishankishan51! The well played game of cricket (55 off 24!) earned the respect of the fellow players,\xe2\x80\xa6'"
2019-09-01 04:13:57,b'@AmarUjalaNews @imVkohli @BCCI @narendramodi @TheRealPCB @SAfridiOfficial @ImranKhanPTI @SAfridiOfficial is frustra\xe2\x80\xa6 https://t.co/fWLBzwe3Sg'
2019-09-01 03:45:03,b'Do you know about ICC World Test Championship Schedule?\n\n#WorldTestChampionship #TestChampionship #ICC #Schedule\xe2\x80\xa6 https://t.co/SoIL7NAXJO'
2019-09-01 03:33:38,"b'RT @katherga1: U.S. brags about how it ""stopped international courts"" trying to charge troops with war crimes https://t.co/hRHMhy5JST\nThis\xe2\x80\xa6'"
2019-09-01 03:13:37,"b'RT @halyapuff: #Russia backed #Donbas militant admits to bombing civilians in #Yasenata, eastern #Ukraine \n#HagueCourt #ICC\nhttps://t.co/fC\xe2\x80\xa6'"
2019-09-01 03:11:01,b'.\n.\n\nFollow for more pic @bumrahjaspritfc @bumrahjaspritfc\n#ecb #klrahul #mithaliraj #smirtimandhanafc #icc\xe2\x80\xa6 https://t.co/XEsj9JJcU0'
2019-09-01 03:10:02,b'Follow Our Page @bumrahjaspritfc  For More Cricket Updates! \n#cricket #cricketupdates #cricketnews\xe2\x80\xa6 https://t.co/bEMTEo4JSG'
